K,trial,global_auc,avg_local_auc
2,1,0.7973856209150327,0.7931372549019609
2,2,0.795751633986928,0.7776143790849672
2,3,0.7941176470588236,0.7821895424836602
2,4,0.7986928104575164,0.7893790849673202
2,5,0.7947712418300654,0.7905228758169935
2,6,0.7934640522875818,0.7888888888888889
2,7,0.79640522875817,0.7895424836601308
2,8,0.7950980392156862,0.788235294117647
2,9,0.7977124183006536,0.7874183006535947
2,10,0.7973856209150327,0.7905228758169933
4,1,0.7990196078431373,0.7734477124183008
4,2,0.7950980392156863,0.7437091503267974
4,3,0.8006535947712419,0.762173202614379
4,4,0.792156862745098,0.763235294117647
4,5,0.7990196078431373,0.7527777777777778
4,6,0.8006535947712419,0.7633986928104575
4,7,0.7928104575163399,0.7769607843137254
4,8,0.7918300653594771,0.7601307189542483
4,9,0.7960784313725491,0.7652777777777777
4,10,0.7934640522875818,0.7702614379084968
6,1,0.7944444444444445,0.7509259259259259
6,2,0.7960784313725491,0.7466230936819173
6,3,0.7964052287581699,0.7265795206971678
6,4,0.7983660130718955,0.7455337690631808
6,5,0.7973856209150327,0.7541394335511983
6,6,0.7960784313725491,0.7351307189542484
6,7,0.7931372549019609,0.7488562091503268
6,8,0.7964052287581699,0.762037037037037
6,9,0.7928104575163398,0.7491830065359477
6,10,0.7947712418300654,0.738562091503268
8,1,0.7973856209150326,0.7295343137254902
8,2,0.796078431372549,0.7372549019607844
8,3,0.7970588235294118,0.7043709150326797
8,4,0.7934640522875817,0.7159722222222222
8,5,0.7970588235294117,0.7359477124183007
8,6,0.7944444444444444,0.7312091503267975
8,7,0.7980392156862746,0.7195261437908496
8,8,0.7954248366013073,0.7227124183006537
8,9,0.7947712418300654,0.7033088235294118
8,10,0.7986928104575164,0.7174019607843136
10,1,0.8,0.72
10,2,0.7977124183006536,0.706437908496732
10,3,0.796078431372549,0.723202614379085
10,4,0.7970588235294118,0.7141503267973857
10,5,0.7983660130718955,0.7362091503267975
10,6,0.7947712418300653,0.7251307189542484
10,7,0.7967320261437909,0.7022549019607843
10,8,0.7960784313725491,0.7354901960784315
10,9,0.7960784313725491,0.7375163398692811
10,10,0.7977124183006536,0.7214379084967321
